timestamp,bp_bid,bp_ask,lt_bid,lt_ask,long_spread,short_spread
2025-12-02 23:59:23.901,90900.9,90903.1,90902.2,90906.9,1.3,-3.8
2025-12-02 23:59:24.548,90888.7,90888.8,90884.7,90886.2,-4.0,2.6
2025-12-02 23:59:25.194,90890,90890.1,90871.7,90877.5,-18.3,12.6
2025-12-02 23:59:25.807,90904.3,90904.4,90883.9,90885.2,-20.4,19.2
2025-12-02 23:59:26.470,90908.6,90908.7,90898.6,90900.7,-10.0,8.0
2025-12-02 23:59:27.127,90908.6,90908.7,90896.2,90899.8,-12.4,8.9
2025-12-02 23:59:28.800,90900.7,90900.8,90894.5,90898.3,-6.2,2.5
2025-12-02 23:59:29.466,90900.7,90900.8,90882.5,90884.9,-18.2,15.9
2025-12-02 23:59:30.229,90896.6,90896.7,90881.7,90882.1,-14.9,14.6
2025-12-02 23:59:31.076,90894.1,90896,90880.7,90883.0,-13.4,13.0
2025-12-02 23:59:31.901,90884.3,90884.4,90879.0,90879.1,-5.3,5.3
2025-12-02 23:59:32.664,90881.3,90881.4,90866.8,90868.7,-14.5,12.7
2025-12-02 23:59:33.441,90852.2,90852.3,90863.7,90863.8,11.5,-11.5
2025-12-02 23:59:34.191,90849.9,90850,90823.0,90835.5,-26.9,14.5
2025-12-02 23:59:34.980,90843.7,90843.8,90838.6,90843.7,-5.1,0.1
2025-12-02 23:59:35.735,90843.7,90843.8,90830.7,90831.9,-13.0,11.9
2025-12-02 23:59:36.472,90828.6,90828.7,90835.8,90837.1,7.2,-8.4
2025-12-02 23:59:37.189,90828.6,90828.7,90811.5,90814.9,-17.1,13.8
2025-12-02 23:59:38.008,90820.3,90820.4,90821.4,90821.5,1.1,-1.1
2025-12-02 23:59:38.766,90820.3,90820.4,90810.1,90813.7,-10.2,6.7
2025-12-02 23:59:39.521,90820.3,90820.4,90810.5,90810.6,-9.8,9.8
2025-12-02 23:59:40.280,90820.3,90820.4,90810.5,90810.6,-9.8,9.8
2025-12-02 23:59:41.015,90820.3,90820.4,90809.6,90813.0,-10.7,7.4
2025-12-02 23:59:41.731,90820.3,90820.4,90810.5,90813.8,-9.8,6.6
2025-12-02 23:59:42.500,90820.3,90820.4,90811.2,90814.0,-9.1,6.4
2025-12-02 23:59:43.248,90827.7,90827.8,90813.9,90818.2,-13.8,9.6
2025-12-02 23:59:43.987,90834.3,90834.4,90819.7,90823.6,-14.6,10.8
2025-12-02 23:59:44.743,90844.8,90844.9,90821.8,90825.4,-23.0,19.5
2025-12-02 23:59:45.467,90849.6,90849.7,90834.3,90835.6,-15.3,14.1
2025-12-02 23:59:46.199,90855.8,90855.9,90837.7,90841.3,-18.1,14.6
2025-12-02 23:59:46.940,90855.8,90855.9,90845.2,90845.9,-10.6,10.0
2025-12-02 23:59:47.741,90855.8,90855.9,90845.1,90849.7,-10.7,6.2
2025-12-02 23:59:48.537,90855.8,90855.9,90845.0,90845.1,-10.8,10.8
2025-12-02 23:59:49.287,90868.3,90868.4,90850.5,90850.6,-17.8,17.8
2025-12-02 23:59:50.021,90868.3,90868.4,90854.6,90859.3,-13.7,9.1
2025-12-02 23:59:50.900,90868.3,90868.4,90856.9,90857.0,-11.4,11.4
2025-12-02 23:59:53.108,90857.2,90857.3,90856.9,90857.0,-0.3,0.3
2025-12-02 23:59:53.834,90857.2,90857.3,90841.2,90845.4,-16.0,11.9
2025-12-02 23:59:54.614,90857,90857.1,90843.8,90843.9,-13.2,13.2
2025-12-02 23:59:55.370,90833.8,90833.9,90843.1,90843.2,9.3,-9.3
2025-12-02 23:59:56.172,90834.1,90834.2,90823.5,90824.3,-10.6,9.9
2025-12-02 23:59:56.875,90834.1,90834.2,90824.2,90824.3,-9.9,9.9
2025-12-02 23:59:57.656,90834.1,90834.2,90823.9,90828.1,-10.2,6.1
2025-12-02 23:59:58.459,90834.1,90834.2,90823.9,90824.0,-10.2,10.2
2025-12-02 23:59:59.284,90801.6,90801.7,90816.9,90817.0,15.3,-15.3
2025-12-03 00:00:00.025,90801.6,90801.7,90787.9,90789.2,-13.7,12.5
2025-12-03 00:00:00.792,90800,90800.1,90789.8,90789.9,-10.2,10.2
2025-12-03 00:00:01.556,90800,90800.1,90784.7,90784.8,-15.3,15.3
2025-12-03 00:00:02.281,90813,90813.1,90784.7,90784.8,-28.3,28.3
2025-12-03 00:00:03.038,90813,90813.1,90802.2,90802.3,-10.8,10.8
2025-12-03 00:00:03.876,90818.2,90821.4,90800.3,90800.8,-17.9,20.6
2025-12-03 00:00:04.996,90851.4,90851.5,90816.9,90823.5,-34.5,28.0
2025-12-03 00:00:05.824,90810,90811,90838.9,90855.1,28.9,-44.1
2025-12-03 00:00:06.575,90824.7,90824.8,90822.2,90825.9,-2.5,-1.1
2025-12-03 00:00:07.344,90825.8,90827.4,90809.1,90811.3,-16.7,16.1
2025-12-03 00:00:08.066,90840.8,90842.5,90823.1,90824.9,-17.7,17.6
2025-12-03 00:00:08.787,90851.4,90851.5,90822.9,90831.5,-28.5,20.0
2025-12-03 00:00:10.687,90850.4,90850.5,90838.7,90857.0,-11.7,-6.5
2025-12-03 00:00:11.496,90865.9,90866.3,90838.7,90838.8,-27.2,27.5
2025-12-03 00:00:12.257,90864,90864.1,90854.1,90854.2,-9.9,9.9
2025-12-03 00:00:13.080,90834.1,90837.6,90850.7,90850.8,16.6,-13.2
2025-12-03 00:00:13.921,90828.6,90829.1,90822.9,90824.1,-5.7,5.0
2025-12-03 00:00:14.761,90836.5,90843.3,90818.0,90818.7,-18.5,24.6
2025-12-03 00:00:15.494,90848.3,90848.6,90835.1,90836.0,-13.2,12.6
2025-12-03 00:00:16.293,90874.5,90876.3,90852.4,90858.9,-22.1,17.4
2025-12-03 00:00:17.171,90876.9,90877,90867.9,90868.0,-9.0,9.0
2025-12-03 00:00:18.161,90889.6,90889.7,90877.3,90880.6,-12.3,9.1
2025-12-03 00:00:19.007,90899.9,90900,90877.1,90877.2,-22.8,22.8
2025-12-03 00:00:19.737,90896.4,90896.5,90898.9,90901.3,2.5,-4.8
2025-12-03 00:00:20.518,90864,90864.1,90872.8,90877.0,8.8,-12.9
2025-12-03 00:00:21.256,90868,90868.1,90861.9,90862.0,-6.1,6.1
2025-12-03 00:00:22.029,90866.1,90871,90848.2,90861.0,-17.9,10.0
2025-12-03 00:00:22.787,90869.6,90869.7,90849.6,90849.7,-20.0,20.0
2025-12-03 00:00:23.747,90887.6,90887.8,90865.8,90868.2,-21.8,19.6
2025-12-03 00:00:24.490,90897.2,90897.3,90882.9,90895.0,-14.3,2.3
2025-12-03 00:00:25.295,90897.2,90897.3,90894.4,90894.5,-2.8,2.8
2025-12-03 00:00:26.054,90911.6,90911.7,90899.7,90901.4,-11.9,10.3
2025-12-03 00:00:26.832,90931.6,90931.7,90918.2,90918.3,-13.4,13.4
2025-12-03 00:00:27.669,90919.4,90919.5,90928.5,90928.6,9.1,-9.1
2025-12-03 00:00:28.544,90919.2,90919.5,90913.2,90914.5,-6.0,5.0
2025-12-03 00:00:29.352,90917.7,90917.8,90915.7,90915.8,-2.0,2.0
2025-12-03 00:00:30.147,90898,90898.1,90902.8,90902.9,4.8,-4.8
2025-12-03 00:00:30.866,90898,90898.1,90894.4,90894.5,-3.6,3.6
2025-12-03 00:00:36.674,90905.7,90905.8,90891.3,90891.4,-14.4,14.4
2025-12-03 00:00:37.461,90905.6,90905.7,90917.3,90927.6,11.7,-21.9
2025-12-03 00:00:39.277,90915.8,90915.9,90898.9,90899.0,-16.9,16.9
