exchange,timestamp,side,price,quantity
Lighter,2025-12-02T17:03:28.053667+00:00,SHORT,90716.2040,0.00200
Backpack,2025-12-02T17:04:02.343003+00:00,buy,90895.2,0.00200
Lighter,2025-12-02T17:04:13.654094+00:00,SHORT,90709.8168,0.00200
Backpack,2025-12-02T17:05:09.835064+00:00,sell,91115.1,0.00200
Lighter,2025-12-02T17:05:21.448144+00:00,LONG,91124.1846,0.00200
Backpack,2025-12-02T17:05:29.335817+00:00,buy,91031.8,0.00200
Lighter,2025-12-02T17:05:40.616417+00:00,SHORT,90829.0778,0.00200
Backpack,2025-12-02T17:06:19.655567+00:00,buy,90978.4,0.00200
Lighter,2025-12-02T17:06:31.022951+00:00,SHORT,90777.8804,0.00200
Backpack,2025-12-02T17:07:19.911027+00:00,buy,90861.8,0.00200
Lighter,2025-12-02T17:07:32.776609+00:00,SHORT,90676.3838,0.00200
Backpack,2025-12-02T17:08:49.962281+00:00,sell,90873.4,0.00200
Lighter,2025-12-02T17:09:02.307788+00:00,LONG,91061.2590,0.00200
Backpack,2025-12-02T17:09:22.177365+00:00,sell,90901.4,0.00200
Lighter,2025-12-02T17:09:33.542400+00:00,LONG,91083.2028,0.00200
Backpack,2025-12-02T17:09:56.524134+00:00,buy,90821.0,0.00200
Lighter,2025-12-02T17:10:07.838013+00:00,SHORT,90655.6254,0.00200
Backpack,2025-12-02T17:10:13.725465+00:00,sell,90839.8,0.00200
Lighter,2025-12-02T17:10:25.092407+00:00,LONG,91011.1590,0.00200
Backpack,2025-12-02T17:11:40.611950+00:00,buy,90989.5,0.00200
Lighter,2025-12-02T17:11:52.043614+00:00,SHORT,90686.8628,0.00200
Backpack,2025-12-02T17:12:20.936328+00:00,sell,91013.5,0.00200
Lighter,2025-12-02T17:12:33.685313+00:00,LONG,91158.2526,0.00200
Backpack,2025-12-02T17:13:31.382984+00:00,buy,91026.0,0.00200
Lighter,2025-12-02T17:13:42.717578+00:00,SHORT,90827.7804,0.00200
Backpack,2025-12-02T17:13:59.303847+00:00,buy,90977.3,0.00200
Lighter,2025-12-02T17:14:10.756595+00:00,SHORT,90786.0640,0.00200
Backpack,2025-12-02T17:15:17.309123+00:00,sell,90958.8,0.00200
Lighter,2025-12-02T17:15:28.717740+00:00,LONG,91133.7036,0.00200
Backpack,2025-12-02T17:15:51.654392+00:00,buy,90921.0,0.00200
Lighter,2025-12-02T17:16:02.914162+00:00,SHORT,90743.5492,0.00200
Backpack,2025-12-02T17:16:10.844214+00:00,sell,90971.3,0.00200
Lighter,2025-12-02T17:16:22.329132+00:00,LONG,91147.9320,0.00200
Backpack,2025-12-02T17:16:59.439300+00:00,sell,91030.5,0.00200
Lighter,2025-12-02T17:17:10.874917+00:00,LONG,91215.2664,0.00200
Backpack,2025-12-02T17:17:32.405257+00:00,sell,91154.2,0.00200
Lighter,2025-12-02T17:17:43.858585+00:00,LONG,91335.4062,0.00200
Backpack,2025-12-02T17:17:51.459339+00:00,sell,91179.8,0.00200
Lighter,2025-12-02T17:18:04.329859+00:00,LONG,91357.1496,0.00200
Backpack,2025-12-02T17:18:12.273155+00:00,sell,91220.7,0.00200
Lighter,2025-12-02T17:18:24.985587+00:00,LONG,91396.3278,0.00200
Backpack,2025-12-02T17:18:35.699944+00:00,sell,91212.2,0.00200
Lighter,2025-12-02T17:18:47.138009+00:00,LONG,91404.6444,0.00200
Backpack,2025-12-02T17:18:59.928798+00:00,sell,91362.0,0.00200
Lighter,2025-12-02T17:19:11.396257+00:00,LONG,91511.9586,0.00200
